ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.PublicarCurso	publicarcurso	1591031178102	 	3.3.1
REQUEST	65		Home	1591031185750	1591031185756	OK	 
USER	PublicarCurso	66	START	1591031185847	1591031185847
REQUEST	66		Home	1591031185848	1591031185852	OK	 
REQUEST	26		IniciarSesion	1591031185848	1591031185852	OK	 
USER	PublicarCurso	67	START	1591031185948	1591031185948
REQUEST	67		Home	1591031185949	1591031185952	OK	 
REQUEST	27		IniciarSesion	1591031185948	1591031185952	OK	 
USER	PublicarCurso	68	START	1591031186048	1591031186048
REQUEST	68		Home	1591031186048	1591031186052	OK	 
REQUEST	28		IniciarSesion	1591031186048	1591031186052	OK	 
USER	PublicarCurso	69	START	1591031186147	1591031186147
REQUEST	69		Home	1591031186148	1591031186152	OK	 
REQUEST	29		IniciarSesion	1591031186158	1591031186162	OK	 
USER	PublicarCurso	70	START	1591031186247	1591031186247
REQUEST	70		Home	1591031186248	1591031186251	OK	 
REQUEST	30		IniciarSesion	1591031186248	1591031186252	OK	 
USER	PublicarCurso	71	START	1591031186350	1591031186350
REQUEST	71		Home	1591031186350	1591031186355	OK	 
REQUEST	31		IniciarSesion	1591031186350	1591031186355	OK	 
USER	PublicarCurso	72	START	1591031186451	1591031186451
REQUEST	72		Home	1591031186451	1591031186455	OK	 
REQUEST	32		IniciarSesion	1591031186462	1591031186466	OK	 
USER	PublicarCurso	73	START	1591031186553	1591031186553
REQUEST	73		Home	1591031186553	1591031186557	OK	 
REQUEST	33		IniciarSesion	1591031186558	1591031186561	OK	 
USER	PublicarCurso	74	START	1591031186651	1591031186651
REQUEST	74		Home	1591031186652	1591031186663	OK	 
REQUEST	34		IniciarSesion	1591031186662	1591031186669	OK	 
USER	PublicarCurso	75	START	1591031186749	1591031186749
REQUEST	75		Home	1591031186749	1591031186753	OK	 
REQUEST	35		IniciarSesion	1591031186760	1591031186763	OK	 
USER	PublicarCurso	76	START	1591031186847	1591031186847
REQUEST	76		Home	1591031186848	1591031186854	OK	 
REQUEST	36		IniciarSesion	1591031186869	1591031186874	OK	 
USER	PublicarCurso	77	START	1591031186947	1591031186947
REQUEST	77		Home	1591031186948	1591031186953	OK	 
REQUEST	37		IniciarSesion	1591031186958	1591031186963	OK	 
USER	PublicarCurso	78	START	1591031187047	1591031187047
REQUEST	78		Home	1591031187048	1591031187051	OK	 
REQUEST	38		IniciarSesion	1591031187069	1591031187072	OK	 
USER	PublicarCurso	79	START	1591031187147	1591031187147
REQUEST	79		Home	1591031187148	1591031187153	OK	 
REQUEST	39		IniciarSesion	1591031187158	1591031187161	OK	 
USER	PublicarCurso	80	START	1591031187247	1591031187247
REQUEST	80		Home	1591031187248	1591031187252	OK	 
REQUEST	40		IniciarSesion	1591031187258	1591031187262	OK	 
USER	PublicarCurso	81	START	1591031187347	1591031187347
REQUEST	81		Home	1591031187348	1591031187352	OK	 
REQUEST	41		IniciarSesion	1591031187368	1591031187371	OK	 
USER	PublicarCurso	82	START	1591031187447	1591031187447
REQUEST	82		Home	1591031187448	1591031187452	OK	 
REQUEST	42		IniciarSesion	1591031187448	1591031187452	OK	 
USER	PublicarCurso	83	START	1591031187552	1591031187552
REQUEST	83		Home	1591031187553	1591031187559	OK	 
REQUEST	43		IniciarSesion	1591031187553	1591031187559	OK	 
USER	PublicarCurso	84	START	1591031187652	1591031187652
REQUEST	84		Home	1591031187653	1591031187657	OK	 
REQUEST	44		IniciarSesion	1591031187652	1591031187657	OK	 
