ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios	dosescenarios	1590969808337	 	3.3.1
USER	Listado	107	START	1590969817535	1590969817535
REQUEST	107		Home	1590969817535	1590969817541	OK	 
REQUEST	114		Home	1590969817535	1590969817541	OK	 
REQUEST	29		IniciarSesion	1590969817567	1590969817571	OK	 
REQUEST	36		IniciarSesion	1590969817567	1590969817571	OK	 
USER	Listado	108	START	1590969817675	1590969817675
USER	Inscribirse	115	START	1590969817675	1590969817675
REQUEST	115		Home	1590969817675	1590969817681	OK	 
REQUEST	108		Home	1590969817675	1590969817681	OK	 
REQUEST	30		IniciarSesion	1590969817696	1590969817700	OK	 
REQUEST	37		IniciarSesion	1590969817696	1590969817700	OK	 
USER	Listado	109	START	1590969817822	1590969817822
USER	Inscribirse	116	START	1590969817822	1590969817822
REQUEST	116		Home	1590969817823	1590969817839	OK	 
REQUEST	109		Home	1590969817823	1590969817839	OK	 
REQUEST	31		IniciarSesion	1590969817854	1590969817859	OK	 
REQUEST	38		IniciarSesion	1590969817854	1590969817859	OK	 
USER	Inscribirse	117	START	1590969817964	1590969817964
USER	Listado	110	START	1590969817964	1590969817964
REQUEST	117		Home	1590969817965	1590969817971	OK	 
REQUEST	110		Home	1590969817965	1590969817971	OK	 
REQUEST	32		IniciarSesion	1590969817986	1590969817991	OK	 
REQUEST	39		IniciarSesion	1590969817986	1590969817991	OK	 
USER	Listado	111	START	1590969818105	1590969818105
USER	Inscribirse	118	START	1590969818105	1590969818105
REQUEST	111		Home	1590969818106	1590969818112	OK	 
REQUEST	118		Home	1590969818106	1590969818113	OK	 
REQUEST	33		IniciarSesion	1590969818128	1590969818133	OK	 
REQUEST	40		IniciarSesion	1590969818128	1590969818133	OK	 
USER	Inscribirse	119	START	1590969818253	1590969818253
USER	Listado	112	START	1590969818253	1590969818253
REQUEST	112		Home	1590969818253	1590969818258	OK	 
REQUEST	119		Home	1590969818253	1590969818258	OK	 
REQUEST	34		IniciarSesion	1590969818285	1590969818289	OK	 
REQUEST	41		IniciarSesion	1590969818285	1590969818289	OK	 
USER	Inscribirse	120	START	1590969818394	1590969818394
USER	Listado	113	START	1590969818394	1590969818394
REQUEST	113		Home	1590969818395	1590969818404	OK	 
REQUEST	120		Home	1590969818395	1590969818404	OK	 
REQUEST	35		IniciarSesion	1590969818436	1590969818445	OK	 
REQUEST	42		IniciarSesion	1590969818436	1590969818445	OK	 
USER	Listado	121	START	1590969818556	1590969818556
USER	Inscribirse	127	START	1590969818556	1590969818556
REQUEST	127		Home	1590969818558	1590969818567	OK	 
REQUEST	121		Home	1590969818558	1590969818567	OK	 
REQUEST	43		IniciarSesion	1590969818572	1590969818577	OK	 
REQUEST	49		IniciarSesion	1590969818572	1590969818577	OK	 
USER	Inscribirse	128	START	1590969818723	1590969818723
USER	Listado	122	START	1590969818723	1590969818723
REQUEST	128		Home	1590969818724	1590969818735	OK	 
REQUEST	122		Home	1590969818724	1590969818736	OK	 
REQUEST	44		IniciarSesion	1590969818756	1590969818761	OK	 
REQUEST	50		IniciarSesion	1590969818756	1590969818761	OK	 
USER	Listado	123	START	1590969818893	1590969818893
USER	Inscribirse	129	START	1590969818893	1590969818893
REQUEST	123		Home	1590969818894	1590969818898	OK	 
REQUEST	129		Home	1590969818894	1590969818898	OK	 
REQUEST	51		IniciarSesion	1590969818925	1590969818929	OK	 
REQUEST	45		IniciarSesion	1590969818925	1590969818929	OK	 
USER	Inscribirse	130	START	1590969819057	1590969819057
USER	Listado	124	START	1590969819057	1590969819057
REQUEST	130		Home	1590969819058	1590969819069	OK	 
REQUEST	124		Home	1590969819058	1590969819069	OK	 
REQUEST	52		IniciarSesion	1590969819093	1590969819101	OK	 
REQUEST	46		IniciarSesion	1590969819093	1590969819101	OK	 
USER	Inscribirse	131	START	1590969819224	1590969819224
USER	Listado	125	START	1590969819223	1590969819223
REQUEST	131		Home	1590969819225	1590969819239	OK	 
REQUEST	125		Home	1590969819225	1590969819239	OK	 
REQUEST	47		IniciarSesion	1590969819255	1590969819262	OK	 
REQUEST	53		IniciarSesion	1590969819255	1590969819262	OK	 
USER	Inscribirse	132	START	1590969819396	1590969819396
REQUEST	132		Home	1590969819398	1590969819404	OK	 
REQUEST	54		IniciarSesion	1590969819422	1590969819427	OK	 
REQUEST	48		IniciarSesion	1590969819422	1590969819427	OK	 
USER	Listado	126	START	1590969819396	1590969819396
REQUEST	126		Home	1590969819443	1590969819447	OK	 
USER	Listado	133	START	1590969819533	1590969819533
USER	Inscribirse	140	START	1590969819533	1590969819533
REQUEST	140		Home	1590969819533	1590969819539	OK	 
