ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios2	dosescenarios2	1591235274099	 	3.3.1
REQUEST	2		IniciarSesion	1591235282484	1591235282508	OK	 
REQUEST	17		IniciarSesion	1591235282563	1591235282575	OK	 
REQUEST	18		IniciarSesion	1591235282563	1591235282577	OK	 
USER	ListadoCursos	110	START	1591235282596	1591235282596
USER	Publicar	103	START	1591235282596	1591235282596
REQUEST	103		Home	1591235282596	1591235282604	OK	 
REQUEST	110		Home	1591235282596	1591235282606	OK	 
REQUEST	19		IniciarSesion	1591235282622	1591235282629	OK	 
REQUEST	4		IniciarSesion	1591235282644	1591235282654	OK	 
USER	Publicar	104	START	1591235282745	1591235282745
USER	ListadoCursos	111	START	1591235282745	1591235282745
REQUEST	111		Home	1591235282746	1591235282754	OK	 
REQUEST	104		Home	1591235282746	1591235282756	OK	 
REQUEST	20		IniciarSesion	1591235282772	1591235282779	OK	 
REQUEST	5		IniciarSesion	1591235282772	1591235282779	OK	 
USER	ListadoCursos	112	START	1591235282882	1591235282882
USER	Publicar	105	START	1591235282882	1591235282882
REQUEST	112		Home	1591235282883	1591235282895	OK	 
REQUEST	105		Home	1591235282883	1591235282896	OK	 
REQUEST	21		IniciarSesion	1591235282915	1591235282924	OK	 
REQUEST	6		IniciarSesion	1591235282941	1591235282950	OK	 
USER	Publicar	106	START	1591235283021	1591235283021
USER	ListadoCursos	113	START	1591235283021	1591235283021
REQUEST	113		Home	1591235283022	1591235283030	OK	 
REQUEST	106		Home	1591235283022	1591235283033	OK	 
REQUEST	22		IniciarSesion	1591235283066	1591235283074	OK	 
REQUEST	7		IniciarSesion	1591235283070	1591235283078	OK	 
USER	Publicar	107	START	1591235283172	1591235283172
USER	ListadoCursos	114	START	1591235283172	1591235283172
REQUEST	114		Home	1591235283173	1591235283183	OK	 
REQUEST	107		Home	1591235283173	1591235283183	OK	 
REQUEST	23		IniciarSesion	1591235283210	1591235283220	OK	 
REQUEST	8		IniciarSesion	1591235283210	1591235283222	OK	 
