ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.TransportesAcabadosPerfomance	transportesacabadosperfomance	1590688537350	 	3.3.1
REQUEST	40		request_4	1590688548570	1590688548575	OK	 
USER	TransportesAcabados	59	START	1590688548705	1590688548705
REQUEST	59		Home	1590688548706	1590688548711	OK	 
REQUEST	59		request_1	1590688548712	1590688548717	OK	 
REQUEST	41		Login	1590688548731	1590688548735	OK	 
REQUEST	41		request_4	1590688548736	1590688548741	OK	 
USER	TransportesAcabados	60	START	1590688548870	1590688548870
REQUEST	60		Home	1590688548871	1590688548878	OK	 
REQUEST	60		request_1	1590688548879	1590688548884	OK	 
REQUEST	42		Login	1590688548891	1590688548895	OK	 
REQUEST	42		request_4	1590688548897	1590688548901	OK	 
USER	TransportesAcabados	61	START	1590688549032	1590688549032
REQUEST	61		Home	1590688549032	1590688549037	OK	 
REQUEST	61		request_1	1590688549039	1590688549042	OK	 
REQUEST	43		Login	1590688549054	1590688549081	OK	 
REQUEST	43		request_4	1590688549083	1590688549086	OK	 
USER	TransportesAcabados	62	START	1590688549204	1590688549204
REQUEST	62		Home	1590688549205	1590688549209	OK	 
REQUEST	62		request_1	1590688549210	1590688549214	OK	 
REQUEST	44		Login	1590688549225	1590688549229	OK	 
REQUEST	44		request_4	1590688549231	1590688549236	OK	 
USER	TransportesAcabados	63	START	1590688549360	1590688549360
REQUEST	63		Home	1590688549361	1590688549367	OK	 
REQUEST	63		request_1	1590688549369	1590688549373	OK	 
REQUEST	45		Login	1590688549392	1590688549397	OK	 
REQUEST	45		request_4	1590688549399	1590688549405	OK	 
USER	TransportesAcabados	64	START	1590688549535	1590688549535
REQUEST	64		Home	1590688549535	1590688549542	OK	 
REQUEST	64		request_1	1590688549543	1590688549547	OK	 
REQUEST	46		Login	1590688549551	1590688549556	OK	 
REQUEST	46		request_4	1590688549557	1590688549561	OK	 
USER	TransportesAcabados	65	START	1590688549703	1590688549703
REQUEST	65		Home	1590688549704	1590688549709	OK	 
REQUEST	65		request_1	1590688549710	1590688549713	OK	 
REQUEST	47		Login	1590688549724	1590688549728	OK	 
REQUEST	47		request_4	1590688549729	1590688549733	OK	 
USER	TransportesAcabados	66	START	1590688549865	1590688549865
REQUEST	66		Home	1590688549866	1590688549871	OK	 
REQUEST	66		request_1	1590688549873	1590688549878	OK	 
REQUEST	48		Login	1590688549891	1590688549895	OK	 
REQUEST	48		request_4	1590688549897	1590688549901	OK	 
USER	TransportesAcabados	67	START	1590688550031	1590688550031
REQUEST	67		Home	1590688550032	1590688550036	OK	 
REQUEST	67		request_1	1590688550038	1590688550041	OK	 
REQUEST	49		Login	1590688550063	1590688550066	OK	 
REQUEST	49		request_4	1590688550068	1590688550074	OK	 
USER	TransportesAcabados	68	START	1590688550204	1590688550204
REQUEST	68		Home	1590688550204	1590688550209	OK	 
REQUEST	68		request_1	1590688550210	1590688550214	OK	 
REQUEST	50		Login	1590688550226	1590688550231	OK	 
REQUEST	50		request_4	1590688550233	1590688550237	OK	 
USER	TransportesAcabados	69	START	1590688550375	1590688550375
REQUEST	69		Home	1590688550375	1590688550380	OK	 
REQUEST	69		request_1	1590688550381	1590688550385	OK	 
REQUEST	51		Login	1590688550385	1590688550389	OK	 
REQUEST	51		request_4	1590688550391	1590688550396	OK	 
USER	TransportesAcabados	70	START	1590688550536	1590688550536
REQUEST	70		Home	1590688550536	1590688550541	OK	 
REQUEST	70		request_1	1590688550542	1590688550546	OK	 
REQUEST	52		Login	1590688550551	1590688550555	OK	 
REQUEST	52		request_4	1590688550556	1590688550560	OK	 
USER	TransportesAcabados	71	START	1590688550701	1590688550701
REQUEST	71		Home	1590688550702	1590688550707	OK	 
REQUEST	71		request_1	1590688550708	1590688550713	OK	 
REQUEST	53		Login	1590688550713	1590688550717	OK	 
REQUEST	53		request_4	1590688550718	1590688550722	OK	 
USER	TransportesAcabados	72	START	1590688550874	1590688550874
REQUEST	72		Home	1590688550874	1590688550879	OK	 
REQUEST	72		request_1	1590688550880	1590688550883	OK	 
REQUEST	54		Login	1590688550885	1590688550889	OK	 
REQUEST	54		request_4	1590688550890	1590688550894	OK	 
USER	TransportesAcabados	73	START	1590688551030	1590688551030
REQUEST	73		Home	1590688551031	1590688551036	OK	 
REQUEST	73		request_1	1590688551037	1590688551041	OK	 
REQUEST	55		Login	1590688551051	1590688551056	OK	 
REQUEST	55		request_4	1590688551058	1590688551063	OK	 
USER	TransportesAcabados	74	START	1590688551191	1590688551191
REQUEST	74		Home	1590688551191	1590688551196	OK	 
REQUEST	74		request_1	1590688551197	1590688551201	OK	 
REQUEST	56		Login	1590688551222	1590688551226	OK	 
REQUEST	56		request_4	1590688551227	1590688551233	OK	 
USER	TransportesAcabados	75	START	1590688551362	1590688551362
REQUEST	75		Home	1590688551363	1590688551368	OK	 
REQUEST	75		request_1	1590688551370	1590688551374	OK	 
REQUEST	57		Login	1590688551394	1590688551398	OK	 
REQUEST	57		request_4	1590688551399	1590688551405	OK	 
USER	TransportesAcabados	76	START	1590688551520	1590688551520
REQUEST	76		Home	1590688551521	1590688551526	OK	 
REQUEST	76		request_1	1590688551527	1590688551531	OK	 
REQUEST	58		Login	1590688551562	1590688551569	OK	 
REQUEST	58		request_4	1590688551571	1590688551576	OK	 
USER	TransportesAcabados	77	START	1590688551693	1590688551693
REQUEST	77		Home	1590688551693	1590688551698	OK	 
REQUEST	77		request_1	1590688551699	1590688551704	OK	 
REQUEST	59		Login	1590688551735	1590688551739	OK	 
REQUEST	59		request_4	1590688551740	1590688551745	OK	 
USER	TransportesAcabados	78	START	1590688551865	1590688551865
REQUEST	78		Home	1590688551865	1590688551870	OK	 
REQUEST	78		request_1	1590688551871	1590688551874	OK	 
REQUEST	60		Login	1590688551901	1590688551905	OK	 
REQUEST	60		request_4	1590688551906	1590688551910	OK	 
USER	TransportesAcabados	79	START	1590688552022	1590688552022
REQUEST	79		Home	1590688552022	1590688552027	OK	 
REQUEST	79		request_1	1590688552029	1590688552033	OK	 
REQUEST	61		Login	1590688552053	1590688552057	OK	 
REQUEST	61		request_4	1590688552058	1590688552061	OK	 
USER	TransportesAcabados	80	START	1590688552205	1590688552205
