ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.TransportesAcabadosPerfomance	transportesacabadosperfomance	1590689484225	 	3.3.1
REQUEST	42		Login	1590689495701	1590689495705	OK	 
REQUEST	42		request_4	1590689495706	1590689495710	OK	 
USER	TransportesAcabados	61	START	1590689495841	1590689495841
REQUEST	61		Home	1590689495842	1590689495846	OK	 
REQUEST	61		request_1	1590689495848	1590689495851	OK	 
REQUEST	43		Login	1590689495863	1590689495872	OK	 
REQUEST	43		request_4	1590689495873	1590689495878	OK	 
USER	TransportesAcabados	62	START	1590689496014	1590689496014
REQUEST	62		Home	1590689496015	1590689496019	OK	 
REQUEST	62		request_1	1590689496021	1590689496024	OK	 
REQUEST	44		Login	1590689496025	1590689496030	OK	 
REQUEST	44		request_4	1590689496032	1590689496037	OK	 
USER	TransportesAcabados	63	START	1590689496176	1590689496176
REQUEST	63		Home	1590689496176	1590689496182	OK	 
REQUEST	63		request_1	1590689496184	1590689496188	OK	 
REQUEST	45		Login	1590689496190	1590689496195	OK	 
REQUEST	45		request_4	1590689496196	1590689496202	OK	 
USER	TransportesAcabados	64	START	1590689496343	1590689496343
REQUEST	64		Home	1590689496343	1590689496349	OK	 
REQUEST	64		request_1	1590689496351	1590689496355	OK	 
REQUEST	46		Login	1590689496353	1590689496357	OK	 
REQUEST	46		request_4	1590689496358	1590689496362	OK	 
USER	TransportesAcabados	65	START	1590689496514	1590689496514
REQUEST	65		Home	1590689496515	1590689496522	OK	 
REQUEST	65		request_1	1590689496523	1590689496527	OK	 
REQUEST	47		Login	1590689496524	1590689496529	OK	 
REQUEST	47		request_4	1590689496531	1590689496536	OK	 
USER	TransportesAcabados	66	START	1590689496672	1590689496672
REQUEST	66		Home	1590689496673	1590689496681	OK	 
REQUEST	66		request_1	1590689496683	1590689496691	OK	 
REQUEST	48		Login	1590689496691	1590689496695	OK	 
REQUEST	48		request_4	1590689496697	1590689496701	OK	 
USER	TransportesAcabados	67	START	1590689496841	1590689496841
REQUEST	67		Home	1590689496842	1590689496847	OK	 
REQUEST	67		request_1	1590689496849	1590689496853	OK	 
REQUEST	49		Login	1590689496852	1590689496857	OK	 
REQUEST	49		request_4	1590689496859	1590689496863	OK	 
USER	TransportesAcabados	68	START	1590689497010	1590689497010
REQUEST	68		Home	1590689497011	1590689497018	OK	 
REQUEST	68		request_1	1590689497020	1590689497027	OK	 
REQUEST	50		Login	1590689497022	1590689497028	OK	 
REQUEST	50		request_4	1590689497030	1590689497037	OK	 
USER	TransportesAcabados	69	START	1590689497170	1590689497170
REQUEST	69		Home	1590689497171	1590689497175	OK	 
REQUEST	69		request_1	1590689497176	1590689497180	OK	 
REQUEST	51		Login	1590689497202	1590689497206	OK	 
REQUEST	51		request_4	1590689497208	1590689497212	OK	 
USER	TransportesAcabados	70	START	1590689497342	1590689497342
REQUEST	70		Home	1590689497342	1590689497347	OK	 
REQUEST	70		request_1	1590689497348	1590689497351	OK	 
REQUEST	52		Login	1590689497374	1590689497378	OK	 
REQUEST	52		request_4	1590689497379	1590689497384	OK	 
USER	TransportesAcabados	71	START	1590689497513	1590689497513
REQUEST	71		Home	1590689497514	1590689497521	OK	 
REQUEST	71		request_1	1590689497523	1590689497528	OK	 
REQUEST	53		Login	1590689497536	1590689497542	OK	 
REQUEST	53		request_4	1590689497544	1590689497549	OK	 
USER	TransportesAcabados	72	START	1590689497671	1590689497671
REQUEST	72		Home	1590689497672	1590689497677	OK	 
REQUEST	72		request_1	1590689497678	1590689497683	OK	 
REQUEST	54		Login	1590689497714	1590689497717	OK	 
REQUEST	54		request_4	1590689497719	1590689497723	OK	 
USER	TransportesAcabados	73	START	1590689497843	1590689497843
REQUEST	73		Home	1590689497844	1590689497848	OK	 
REQUEST	73		request_1	1590689497849	1590689497853	OK	 
REQUEST	55		Login	1590689497874	1590689497879	OK	 
REQUEST	55		request_4	1590689497881	1590689497885	OK	 
USER	TransportesAcabados	74	START	1590689498003	1590689498003
REQUEST	74		Home	1590689498004	1590689498008	OK	 
REQUEST	74		request_1	1590689498009	1590689498013	OK	 
REQUEST	56		Login	1590689498045	1590689498050	OK	 
REQUEST	56		request_4	1590689498051	1590689498057	OK	 
USER	TransportesAcabados	75	START	1590689498171	1590689498171
REQUEST	75		Home	1590689498171	1590689498181	OK	 
REQUEST	75		request_1	1590689498183	1590689498191	OK	 
REQUEST	57		Login	1590689498203	1590689498210	OK	 
REQUEST	57		request_4	1590689498212	1590689498218	OK	 
USER	TransportesAcabados	76	START	1590689498343	1590689498343
REQUEST	76		Home	1590689498343	1590689498351	OK	 
REQUEST	76		request_1	1590689498352	1590689498355	OK	 
REQUEST	58		Login	1590689498376	1590689498381	OK	 
REQUEST	58		request_4	1590689498383	1590689498389	OK	 
USER	TransportesAcabados	77	START	1590689498505	1590689498505
REQUEST	77		Home	1590689498505	1590689498511	OK	 
REQUEST	77		request_1	1590689498513	1590689498520	OK	 
REQUEST	59		Login	1590689498542	1590689498547	OK	 
REQUEST	59		request_4	1590689498550	1590689498556	OK	 
USER	TransportesAcabados	78	START	1590689498674	1590689498674
REQUEST	78		Home	1590689498674	1590689498679	OK	 
REQUEST	78		request_1	1590689498680	1590689498685	OK	 
REQUEST	60		Login	1590689498710	1590689498714	OK	 
REQUEST	60		request_4	1590689498715	1590689498719	OK	 
USER	TransportesAcabados	79	START	1590689498845	1590689498845
REQUEST	79		Home	1590689498846	1590689498850	OK	 
REQUEST	79		request_1	1590689498852	1590689498855	OK	 
REQUEST	61		Login	1590689498860	1590689498864	OK	 
REQUEST	61		request_4	1590689498866	1590689498870	OK	 
USER	TransportesAcabados	80	START	1590689499003	1590689499003
REQUEST	80		Home	1590689499004	1590689499009	OK	 
REQUEST	80		request_1	1590689499010	1590689499015	OK	 
REQUEST	62		Login	1590689499035	1590689499039	OK	 
REQUEST	62		request_4	1590689499040	1590689499044	OK	 
USER	TransportesAcabados	81	START	1590689499170	1590689499170
REQUEST	81		Home	1590689499171	1590689499175	OK	 
REQUEST	81		request_1	1590689499176	1590689499185	OK	 
REQUEST	63		Login	1590689499192	1590689499198	OK	 
REQUEST	63		request_4	1590689499199	1590689499204	OK	 
USER	TransportesAcabados	82	START	1590689499341	1590689499341
REQUEST	82		Home	1590689499342	1590689499352	OK	 
REQUEST	82		request_1	1590689499353	1590689499361	OK	 
REQUEST	64		Login	1590689499372	1590689499377	OK	 
REQUEST	64		request_4	1590689499379	1590689499384	OK	 
USER	TransportesAcabados	83	START	1590689499502	1590689499502
REQUEST	83		Home	1590689499502	1590689499514	OK	 
REQUEST	83		request_1	1590689499515	1590689499521	OK	 
REQUEST	65		Login	1590689499544	1590689499573	OK	 
REQUEST	65		request_4	1590689499574	1590689499583	OK	 
USER	TransportesAcabados	84	START	1590689499673	1590689499673
REQUEST	84		Home	1590689499674	1590689499681	OK	 
REQUEST	84		request_1	1590689499683	1590689499688	OK	 
REQUEST	66		Login	1590689499711	1590689499718	OK	 
REQUEST	66		request_4	1590689499719	1590689499728	OK	 
USER	TransportesAcabados	85	START	1590689499845	1590689499845
REQUEST	85		Home	1590689499845	1590689499851	OK	 
REQUEST	85		request_1	1590689499852	1590689499856	OK	 
REQUEST	67		Login	1590689499871	1590689499875	OK	 
REQUEST	67		request_4	1590689499876	1590689499880	OK	 
USER	TransportesAcabados	86	START	1590689500000	1590689500000
REQUEST	86		Home	1590689500001	1590689500006	OK	 
REQUEST	86		request_1	1590689500007	1590689500011	OK	 
REQUEST	68		Login	1590689500042	1590689500046	OK	 
REQUEST	68		request_4	1590689500047	1590689500051	OK	 
USER	TransportesAcabados	87	START	1590689500170	1590689500170
REQUEST	87		Home	1590689500171	1590689500175	OK	 
REQUEST	87		request_1	1590689500176	1590689500183	OK	 
REQUEST	69		Login	1590689500202	1590689500205	OK	 
REQUEST	69		request_4	1590689500207	1590689500210	OK	 
USER	TransportesAcabados	88	START	1590689500345	1590689500345
REQUEST	88		Home	1590689500346	1590689500350	OK	 
REQUEST	88		request_1	1590689500352	1590689500357	OK	 
REQUEST	70		Login	1590689500360	1590689500365	OK	 
REQUEST	70		request_4	1590689500367	1590689500374	OK	 
USER	TransportesAcabados	89	START	1590689500503	1590689500503
REQUEST	89		Home	1590689500503	1590689500509	OK	 
REQUEST	89		request_1	1590689500510	1590689500515	OK	 
REQUEST	71		Login	1590689500545	1590689500551	OK	 
REQUEST	71		request_4	1590689500553	1590689500561	OK	 
USER	TransportesAcabados	90	START	1590689500671	1590689500671
REQUEST	90		Home	1590689500672	1590689500677	OK	 
REQUEST	90		request_1	1590689500712	1590689500720	OK	 
REQUEST	72		Login	1590689500711	1590689500728	OK	 
REQUEST	72		request_4	1590689500730	1590689500737	OK	 
USER	TransportesAcabados	91	START	1590689500842	1590689500842
REQUEST	91		Home	1590689500842	1590689500848	OK	 
REQUEST	91		request_1	1590689500849	1590689500853	OK	 
REQUEST	73		Login	1590689500874	1590689500878	OK	 
REQUEST	73		request_4	1590689500879	1590689500883	OK	 
USER	TransportesAcabados	92	START	1590689501002	1590689501002
REQUEST	92		Home	1590689501002	1590689501008	OK	 
REQUEST	92		request_1	1590689501009	1590689501012	OK	 
REQUEST	74		Login	1590689501024	1590689501028	OK	 
REQUEST	74		request_4	1590689501029	1590689501032	OK	 
USER	TransportesAcabados	93	START	1590689501175	1590689501175
REQUEST	93		Home	1590689501175	1590689501180	OK	 
REQUEST	93		request_1	1590689501181	1590689501185	OK	 
REQUEST	75		Login	1590689501201	1590689501205	OK	 
REQUEST	75		request_4	1590689501206	1590689501210	OK	 
USER	TransportesAcabados	94	START	1590689501340	1590689501340
REQUEST	94		Home	1590689501341	1590689501345	OK	 
REQUEST	94		request_1	1590689501346	1590689501350	OK	 
REQUEST	76		Login	1590689501372	1590689501376	OK	 
REQUEST	76		request_4	1590689501377	1590689501381	OK	 
USER	TransportesAcabados	95	START	1590689501503	1590689501503
REQUEST	95		Home	1590689501503	1590689501509	OK	 
REQUEST	95		request_1	1590689501510	1590689501514	OK	 
REQUEST	77		Login	1590689501535	1590689501541	OK	 
REQUEST	77		request_4	1590689501543	1590689501549	OK	 
USER	TransportesAcabados	96	START	1590689501674	1590689501674
REQUEST	96		Home	1590689501675	1590689501681	OK	 
REQUEST	96		request_1	1590689501682	1590689501687	OK	 
REQUEST	78		Login	1590689501705	1590689501710	OK	 
REQUEST	78		request_4	1590689501711	1590689501717	OK	 
USER	TransportesAcabados	97	START	1590689501844	1590689501844
REQUEST	97		Home	1590689501844	1590689501849	OK	 
REQUEST	97		request_1	1590689501850	1590689501854	OK	 
REQUEST	79		Login	1590689501865	1590689501869	OK	 
REQUEST	79		request_4	1590689501871	1590689501874	OK	 
USER	TransportesAcabados	98	START	1590689502004	1590689502004
REQUEST	98		Home	1590689502005	1590689502010	OK	 
REQUEST	98		request_1	1590689502011	1590689502014	OK	 
REQUEST	80		Login	1590689502035	1590689502039	OK	 
REQUEST	80		request_4	1590689502040	1590689502043	OK	 
USER	TransportesAcabados	99	START	1590689502175	1590689502175
REQUEST	99		Home	1590689502175	1590689502181	OK	 
REQUEST	99		request_1	1590689502183	1590689502187	OK	 
REQUEST	81		Login	1590689502201	1590689502206	OK	 
REQUEST	81		request_4	1590689502209	1590689502214	OK	 
USER	TransportesAcabados	100	START	1590689502341	1590689502341
REQUEST	100		Home	1590689502341	1590689502347	OK	 
REQUEST	100		request_1	1590689502348	1590689502354	OK	 
REQUEST	82		Login	1590689502376	1590689502381	OK	 
REQUEST	82		request_4	1590689502383	1590689502388	OK	 
USER	TransportesAcabados	101	START	1590689502507	1590689502507
REQUEST	101		Home	1590689502508	1590689502521	OK	 
REQUEST	101		request_1	1590689502522	1590689502538	OK	 
REQUEST	83		Login	1590689502543	1590689502549	OK	 
REQUEST	83		request_4	1590689502551	1590689502566	OK	 
REQUEST	2		Authenticated	1590689502107	1590689502661	OK	 
REQUEST	2		Authenticated Redirect 1	1590689502667	1590689502689	OK	 
USER	TransportesAcabados	102	START	1590689502693	1590689502693
REQUEST	1		Authenticated	1590689502107	1590689502705	OK	 
REQUEST	2		request_6	1590689502691	1590689502709	OK	 
REQUEST	102		Home	1590689502693	1590689502712	OK	 
REQUEST	1		Authenticated Redirect 1	1590689502705	1590689502712	OK	 
REQUEST	1		request_6	1590689502713	1590689502729	OK	 
