ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCursosDisponibles	vercursosdisponibles	1591032725147	 	3.3.1
REQUEST	33		IniciarSesion	1591032734079	1591032734083	OK	 
USER	VerCursosDisponibles	94	START	1591032734125	1591032734125
REQUEST	94		Home	1591032734126	1591032734130	OK	 
REQUEST	34		IniciarSesion	1591032734158	1591032734161	OK	 
USER	VerCursosDisponibles	95	START	1591032734211	1591032734211
REQUEST	95		Home	1591032734211	1591032734217	OK	 
REQUEST	35		IniciarSesion	1591032734247	1591032734250	OK	 
USER	VerCursosDisponibles	96	START	1591032734300	1591032734300
REQUEST	96		Home	1591032734300	1591032734304	OK	 
REQUEST	36		IniciarSesion	1591032734326	1591032734329	OK	 
USER	VerCursosDisponibles	97	START	1591032734380	1591032734380
REQUEST	97		Home	1591032734381	1591032734385	OK	 
REQUEST	37		IniciarSesion	1591032734407	1591032734410	OK	 
USER	VerCursosDisponibles	98	START	1591032734460	1591032734460
REQUEST	98		Home	1591032734461	1591032734465	OK	 
REQUEST	38		IniciarSesion	1591032734496	1591032734499	OK	 
USER	VerCursosDisponibles	99	START	1591032734548	1591032734548
REQUEST	99		Home	1591032734549	1591032734555	OK	 
REQUEST	39		IniciarSesion	1591032734576	1591032734580	OK	 
USER	VerCursosDisponibles	100	START	1591032734629	1591032734629
REQUEST	100		Home	1591032734630	1591032734636	OK	 
REQUEST	40		IniciarSesion	1591032734656	1591032734659	OK	 
USER	VerCursosDisponibles	101	START	1591032734708	1591032734708
REQUEST	101		Home	1591032734708	1591032734712	OK	 
REQUEST	41		IniciarSesion	1591032734751	1591032734754	OK	 
USER	VerCursosDisponibles	102	START	1591032734798	1591032734798
REQUEST	102		Home	1591032734798	1591032734805	OK	 
REQUEST	42		IniciarSesion	1591032734830	1591032734833	OK	 
USER	VerCursosDisponibles	103	START	1591032734878	1591032734878
