ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.Transportar2EscaneriosPerfomance	transportar2escaneriosperfomance	1590747969250	 	3.3.1
REQUEST	27		Login	1590747980390	1590747980395	OK	 
REQUEST	27		request_3	1590747980397	1590747980403	OK	 
REQUEST	29		request_3	1590747980397	1590747980403	OK	 
USER	transportarPos	58	START	1590747980846	1590747980846
USER	transportarNeg	56	START	1590747980846	1590747980846
REQUEST	56		Home	1590747980846	1590747980854	OK	 
REQUEST	58		Home	1590747980846	1590747980854	OK	 
REQUEST	58		request_1	1590747980856	1590747980860	OK	 
REQUEST	56		request_1	1590747980856	1590747980861	OK	 
REQUEST	30		Login	1590747980889	1590747980894	OK	 
REQUEST	28		Login	1590747980889	1590747980894	OK	 
REQUEST	28		request_3	1590747980896	1590747980902	OK	 
REQUEST	30		request_3	1590747980896	1590747980902	OK	 
USER	transportarPos	62	START	1590747981188	1590747981188
USER	transportarNeg	59	START	1590747981188	1590747981188
REQUEST	62		Home	1590747981188	1590747981196	OK	 
REQUEST	59		Home	1590747981188	1590747981195	OK	 
REQUEST	62		request_1	1590747981197	1590747981203	OK	 
REQUEST	59		request_1	1590747981197	1590747981203	OK	 
REQUEST	31		Login	1590747981228	1590747981233	OK	 
REQUEST	34		Login	1590747981228	1590747981233	OK	 
REQUEST	31		request_3	1590747981234	1590747981239	OK	 
REQUEST	34		request_3	1590747981234	1590747981239	OK	 
USER	transportarNeg	60	START	1590747981517	1590747981517
USER	transportarPos	63	START	1590747981517	1590747981517
REQUEST	60		Home	1590747981517	1590747981523	OK	 
REQUEST	63		Home	1590747981517	1590747981523	OK	 
REQUEST	60		request_1	1590747981525	1590747981530	OK	 
REQUEST	63		request_1	1590747981525	1590747981530	OK	 
REQUEST	32		Login	1590747981558	1590747981563	OK	 
REQUEST	35		Login	1590747981558	1590747981563	OK	 
REQUEST	32		request_3	1590747981565	1590747981570	OK	 
REQUEST	35		request_3	1590747981565	1590747981570	OK	 
USER	transportarNeg	61	START	1590747981848	1590747981848
USER	transportarPos	64	START	1590747981848	1590747981848
REQUEST	64		Home	1590747981849	1590747981855	OK	 
REQUEST	61		Home	1590747981849	1590747981855	OK	 
REQUEST	64		request_1	1590747981856	1590747981862	OK	 
REQUEST	61		request_1	1590747981856	1590747981863	OK	 
REQUEST	33		Login	1590747981891	1590747981897	OK	 
REQUEST	36		Login	1590747981891	1590747981897	OK	 
REQUEST	36		request_3	1590747981898	1590747981903	OK	 
REQUEST	33		request_3	1590747981898	1590747981903	OK	 
USER	transportarNeg	65	START	1590747982190	1590747982190
USER	transportarPos	68	START	1590747982190	1590747982190
REQUEST	68		Home	1590747982190	1590747982197	OK	 
REQUEST	65		Home	1590747982190	1590747982197	OK	 
REQUEST	65		request_1	1590747982198	1590747982203	OK	 
