ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034731304	 	3.3.1
USER	InscribirCurso	91	START	1591034740543	1591034740543
REQUEST	91		Home	1591034740544	1591034740548	OK	 
REQUEST	36		IniciarSesion	1591034740569	1591034740572	OK	 
USER	InscribirCurso	92	START	1591034740632	1591034740632
REQUEST	92		Home	1591034740633	1591034740639	OK	 
REQUEST	37		IniciarSesion	1591034740654	1591034740657	OK	 
USER	InscribirCurso	93	START	1591034740722	1591034740722
REQUEST	93		Home	1591034740722	1591034740726	OK	 
REQUEST	38		IniciarSesion	1591034740743	1591034740746	OK	 
USER	InscribirCurso	94	START	1591034740812	1591034740812
REQUEST	94		Home	1591034740812	1591034740815	OK	 
REQUEST	39		IniciarSesion	1591034740833	1591034740836	OK	 
USER	InscribirCurso	95	START	1591034740899	1591034740899
REQUEST	95		Home	1591034740899	1591034740903	OK	 
REQUEST	40		IniciarSesion	1591034740921	1591034740924	OK	 
USER	InscribirCurso	96	START	1591034741002	1591034741002
REQUEST	96		Home	1591034741003	1591034741008	OK	 
REQUEST	41		IniciarSesion	1591034741014	1591034741019	OK	 
USER	InscribirCurso	97	START	1591034741092	1591034741092
REQUEST	97		Home	1591034741093	1591034741106	OK	 
REQUEST	42		IniciarSesion	1591034741103	1591034741111	OK	 
USER	InscribirCurso	98	START	1591034741181	1591034741181
REQUEST	98		Home	1591034741182	1591034741188	OK	 
REQUEST	43		IniciarSesion	1591034741213	1591034741219	OK	 
USER	InscribirCurso	99	START	1591034741270	1591034741270
REQUEST	99		Home	1591034741271	1591034741275	OK	 
REQUEST	44		IniciarSesion	1591034741293	1591034741296	OK	 
USER	InscribirCurso	100	START	1591034741361	1591034741361
REQUEST	100		Home	1591034741361	1591034741365	OK	 
REQUEST	45		IniciarSesion	1591034741394	1591034741397	OK	 
USER	InscribirCurso	101	START	1591034741450	1591034741450
REQUEST	101		Home	1591034741451	1591034741454	OK	 
REQUEST	46		IniciarSesion	1591034741461	1591034741465	OK	 
USER	InscribirCurso	102	START	1591034741542	1591034741542
REQUEST	102		Home	1591034741542	1591034741546	OK	 
REQUEST	47		IniciarSesion	1591034741562	1591034741567	OK	 
USER	InscribirCurso	103	START	1591034741631	1591034741631
REQUEST	103		Home	1591034741632	1591034741635	OK	 
